x1,x2,y
-10.0,-5.0,104.88394113455655
-9.95,-4.975,106.5374030835872
-9.9,-4.95,107.84766077515438
-9.85,-4.925,108.82079397922105
-9.8,-4.9,109.46372048685214
-9.75,-4.875,109.78415310970817
-9.7,-4.85,109.79055524628515
-9.65,-4.825,109.49209518918039
-9.6,-4.8,108.89859934798407
-9.55,-4.775,108.02050456214687
-9.5,-4.75,106.86880967735874
-9.45,-4.725,105.45502655761199
-9.4,-4.7,103.79113070322126
-9.35,-4.675,101.8895116426576
-9.3,-4.65,99.762923263135
-9.25,-4.625,97.42443424148505
-9.2,-4.6,94.88737873299566
-9.15,-4.575,92.16530747158262
-9.1,-4.55,89.271939429943
-9.05,-4.525,86.22111418322284
-9.0,-4.5,83.02674511424118
-8.95,-4.475,79.70277359248571
-8.9,-4.45,76.26312425293722
-8.85,-4.425,72.72166149434047
-8.8,-4.4,69.09214730982812
-8.75,-4.375,65.38820055585252
-8.7,-4.35,61.623257758227965
-8.65,-4.325,57.810535546738045
-8.6,-4.3,53.96299480227223
-8.55,-4.275,50.09330659283397
-8.5,-4.25,46.21381996703966
-8.45,-4.225,42.33653166594494
-8.4,-4.2,38.473057806197005
-8.35,-4.175,34.63460757966943
-8.3,-4.15,30.83195900690205
-8.25,-4.125,27.075436773868155
-8.2,-4.1,23.37489217386685
-8.15,-4.075,19.73968516868982
-8.1,-4.05,16.17866857568782
-8.05,-4.025,12.700174379972143
-8.0,-4.0,9.312002163751266
-7.949999999999999,-3.9749999999999996,6.02140963776162
-7.9,-3.95,2.8351052528989573
-7.85,-3.925,-0.24075713646217192
-7.8,-3.9,-3.20058159235582
-7.75,-3.875,-6.039331437341338
-7.699999999999999,-3.8499999999999996,-8.75252866971659
-7.65,-3.825,-11.336251502257909
-7.6,-3.8,-13.787130082173533
-7.55,-3.775,-16.10234045489584
-7.5,-3.75,-18.27959683895644
-7.449999999999999,-3.7249999999999996,-20.317142283462104
-7.4,-3.7,-22.213737783625596
-7.35,-3.675,-23.968649933386633
-7.3,-3.65,-25.58163719738068
-7.25,-3.625,-27.052934887378864
-7.199999999999999,-3.5999999999999996,-28.38323893081689
-7.15,-3.575,-29.57368852116448
-7.1,-3.55,-30.625847741651413
-7.05,-3.525,-31.541686255264654
-7.0,-3.5,-32.32355915496918
-6.949999999999999,-3.4749999999999996,-32.97418606877995
-6.9,-3.45,-33.49662961463511
-6.85,-3.425,-33.89427329999349
-6.8,-3.4,-34.170798960709526
-6.75,-3.375,-34.3301638330373
-6.699999999999999,-3.3499999999999996,-34.37657735158742
-6.65,-3.325,-34.31447776472015
-6.6,-3.3,-34.148508657213675
-6.55,-3.275,-33.88349546811208
-6.5,-3.25,-33.524422089444805
-6.449999999999999,-3.2249999999999996,-33.07640762903257
-6.4,-3.2,-32.54468341786846
-6.35,-3.175,-31.934570339601507
-6.3,-3.15,-31.25145655647047
-6.25,-3.125,-30.50077570265196
-6.199999999999999,-3.0999999999999996,-29.687985612418657
-6.15,-3.075,-28.81854764676498
-6.1,-3.05,-27.89790667826703
